path,count,first_seen,last_seen,status,sample_ip
/%252fbackup%252f.env,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:40+00:00,404,172.71.127.17
/%252fbackup%252fphpinfo.php,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:40+00:00,404,172.71.127.17
/%252fbackups%252f.env,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:41+00:00,404,172.71.127.18
/%252fbak%252fphpinfo.php,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:41+00:00,404,172.71.127.17
/%252fbeta%252f.env,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:42+00:00,404,172.71.127.17
/%252fbeta%252fphpinfo.php,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:42+00:00,404,172.71.127.17
/%252fblog%252f.env,4,2026-08-24T12:11:14+00:00,2026-09-05T03:44:42+00:00,404,172.71.127.18
/%252fblog%252fphpinfo.php,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:43+00:00,404,172.71.127.17
/%252fblogs%252f.env,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:43+00:00,404,172.71.127.17
/%252fcart%252f.env,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:44+00:00,404,172.71.127.18
/%252fcgi-bin%252f.env,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:44+00:00,404,172.71.127.17
/%252fcgi-bin%252fconfig%252eexp,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:44+00:00,404,172.71.127.17
/%252fcgi-bin%252fphp%3f-s,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:44+00:00,404,172.71.127.17
/%252fcgi-bin%252fphp5%3f-s,4,2026-08-24T12:11:15+00:00,2026-09-05T03:44:45+00:00,404,172.71.127.18
/%252fclient%252f.env,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:46+00:00,404,172.71.127.18
/%252fclients%252f.env,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:46+00:00,404,172.71.127.17
/%252fcloud%252f.env,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:47+00:00,404,172.71.127.17
/%252fcms%252f.env,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:47+00:00,404,172.71.127.18
/%252fconf.php,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:47+00:00,404,172.71.127.18
/%252fconfig%252f.env,4,2026-08-24T12:11:16+00:00,2026-09-05T03:44:48+00:00,404,172.71.127.17
/%252fconfig%252fdatabase.env,4,2026-08-24T12:11:17+00:00,2026-09-05T03:44:49+00:00,404,172.71.127.17
/%252fconfig%252fdb.env,4,2026-08-24T12:11:17+00:00,2026-09-05T03:44:49+00:00,404,172.71.127.18
/%252fconfig.php,4,2026-08-24T12:11:18+00:00,2026-09-05T03:44:52+00:00,404,172.71.127.18
